year,nonth,state,county,rate
2016,November,Idaho,Fremont County,3.0
2016,November,Idaho,Bonneville County,3.1
2016,November,Idaho,Camas County,3.5
2016,November,Idaho,Nez Perce County,3.3
2016,November,Idaho,Oneida County,3.8
2016,November,Idaho,Butte County,4.0
2016,November,Idaho,Boundary County,5.2
2016,November,Idaho,Bannock County,3.5
2016,November,Idaho,Clearwater County,7.4
2016,November,Wyoming,Sweetwater County,5.2
2016,November,Wyoming,Campbell County,5.9
2016,November,Wyoming,Converse County,5.1
2016,November,Wyoming,Sublette County,5.2
2016,November,Wyoming,Weston County,4.4
2016,November,Wyoming,Big Horn County,4.0
2016,November,Wyoming,Lincoln County,3.8
2016,November,Wyoming,Natrona County,6.0
2016,November,Wyoming,Johnson County,4.4
2016,November,Wyoming,Platte County,4.1
2016,November,Wyoming,Hot Springs County,4.2
2016,November,Wyoming,Albany County,2.6
2016,November,Wyoming,Sheridan County,3.7
2016,November,Wyoming,Carbon County,3.8
2016,November,Wyoming,Laramie County,3.5
2016,November,Wyoming,Goshen County,2.8
2016,November,Wyoming,Niobrara County,2.6
2016,November,Wyoming,Crook County,3.7
2016,November,Wyoming,Fremont County,5.8
2016,November,Wyoming,Teton County,5.7
2016,November,Wyoming,Washakie County,3.6
2016,November,Wyoming,Uinta County,4.8
2016,November,Wyoming,Park County,4.4
2016,November,Tennessee,Cocke County,5.7
2016,November,Tennessee,Monroe County,5.2
2016,November,Tennessee,Overton County,5.0
2016,November,Tennessee,Madison County,4.7
2016,November,Tennessee,Marion County,6.3
2016,November,Tennessee,Giles County,4.0
2016,November,Tennessee,Knox County,3.9
2016,November,Tennessee,Stewart County,6.1
2016,November,Tennessee,Williamson County,3.4
2016,November,Tennessee,Dickson County,4.0
2016,November,Tennessee,Lincoln County,4.3
2016,November,Tennessee,Tipton County,5.4
2016,November,Tennessee,Lawrence County,5.3
2016,November,Tennessee,Benton County,6.2
2016,November,Tennessee,Haywood County,5.8
2016,November,Tennessee,Smith County,4.3
2016,November,Tennessee,Macon County,4.2
2016,November,Tennessee,Gibson County,5.8
2016,November,Tennessee,Scott County,7.5
2016,November,Tennessee,Hawkins County,5.2
2016,November,Tennessee,Robertson County,3.9
2016,November,Tennessee,Grainger County,5.3
2016,November,Tennessee,Davidson County,3.5
2016,November,Tennessee,McNairy County,7.1
2016,November,Tennessee,Jefferson County,4.9
2016,November,Tennessee,Campbell County,6.4
2016,November,Tennessee,Marshall County,4.4
2016,November,Tennessee,Rhea County,7.8
2016,November,Tennessee,Anderson County,4.8
