lat,lon,alt,date,device,os,version
40.8075675964,-73.9920578003,13.2148742676,2017-04-07 13:13:36,"iPhone7,2",10.2.1,1.1
40.826965332,-73.9814071655,82.2778015137,2017-04-07 13:20:00,"iPhone7,2",10.2.1,1.1
40.8508224487,-73.969909668,85.9980163574,2017-04-07 13:24:16,"iPhone7,2",10.2.1,1.1
40.846321106,-73.9711761475,86.0627746582,2017-04-07 13:30:40,"iPhone7,2",10.2.1,1.1
40.8401184082,-73.9872665405,83.8229675293,2017-04-07 13:34:56,"iPhone7,2",10.2.1,1.1
40.8362159729,-73.9907226562,64.2187805176,2017-04-07 13:41:20,"iPhone7,2",10.2.1,1.1
40.8178291321,-73.9870834351,84.8667297363,2017-04-07 13:45:36,"iPhone7,2",10.2.1,1.1
40.8030357361,-73.9928894043,84.8667297363,2017-04-07 13:54:08,"iPhone7,2",10.2.1,1.1
40.8085479736,-73.9915237427,16.1558971405,2017-04-07 19:26:56,"iPhone7,2",10.2.1,1.1
40.8271255493,-73.9873428345,78.8757019043,2017-04-07 19:31:12,"iPhone7,2",10.2.1,1.1
40.8400421143,-73.9872131348,81.1957244873,2017-04-07 19:37:36,"iPhone7,2",10.2.1,1.1
40.8363265991,-73.990737915,67.9952697754,2017-04-07 19:44:00,"iPhone7,2",10.2.1,1.1
40.8147583008,-73.9897766113,61.8426818848,2017-04-07 19:48:16,"iPhone7,2",10.2.1,1.1
40.813293457,-73.9841537476,-1.18789672852,2017-04-07 19:54:40,"iPhone7,2",10.2.1,1.1
40.8076477051,-73.9906234741,8.6795091629,2017-04-07 20:28:48,"iPhone7,2",10.2.1,1.1
40.8117294312,-73.9872817993,7.51317691803,2017-04-07 22:38:56,"iPhone7,2",10.2.1,1.1
40.8077735901,-73.9903717041,-0.833465576172,2017-04-07 22:56:00,"iPhone7,2",10.2.1,1.1
40.8103141785,-74.0009841919,66.0694274902,2017-04-07 23:00:16,"iPhone7,2",10.2.1,1.1
40.8141860962,-74.0100708008,5.60163497925,2017-04-07 23:04:32,"iPhone7,2",10.2.1,1.1
40.8096466064,-74.0139007568,11.8776741028,2017-04-07 23:36:32,"iPhone7,2",10.2.1,1.1
40.8015022278,-74.0064468384,17,2017-04-07 23:40:48,"iPhone7,2",10.2.1,1.1
40.8003921509,-73.9947052002,16.1067523956,2017-04-07 23:47:12,"iPhone7,2",10.2.1,1.1
40.8040351868,-73.9911575317,7.79686880112,2017-04-07 23:51:28,"iPhone7,2",10.2.1,1.1
40.779083252,-73.9951324463,5.60545825958,2017-04-08 18:50:40,"iPhone7,2",10.2.1,1.1
40.8050613403,-73.991897583,5.29166126251,2017-04-08 18:54:56,"iPhone7,2",10.2.1,1.1
40.7960281372,-73.9966049194,7.45318984985,2017-04-08 22:19:44,"iPhone7,2",10.2.1,1.1
40.8040847778,-73.9931335449,5.67552614212,2017-04-08 22:32:32,"iPhone7,2",10.2.1,1.1
40.797454834,-73.9955978394,4.60463809967,2017-04-08 22:41:04,"iPhone7,2",10.2.1,1.1
40.7927284241,-73.9982528687,3.70600295067,2017-04-08 22:53:52,"iPhone7,2",10.2.1,1.1
40.803440094,-73.9933853149,3.99998259544,2017-04-09 03:52:32,"iPhone7,2",10.2.1,1.1
40.813621521,-73.9840164185,3.91731500626,2017-04-09 03:58:56,"iPhone7,2",10.2.1,1.1
40.8043556213,-73.9903945923,10.3333654404,2017-04-09 04:03:12,"iPhone7,2",10.2.1,1.1
40.7822227478,-73.9944992065,8.99999904633,2017-04-09 15:40:48,"iPhone7,2",10.2.1,1.1
40.8199958801,-73.9880371094,41.8165931702,2017-04-09 15:47:12,"iPhone7,2",10.2.1,1.1
40.8349494934,-73.9787063599,52.709312439,2017-04-09 15:51:28,"iPhone7,2",10.2.1,1.1
40.849029541,-73.9811859131,47.1998214722,2017-04-09 15:57:52,"iPhone7,2",10.2.1,1.1
40.8426132202,-73.9875411987,37,2017-04-09 17:50:56,"iPhone7,2",10.2.1,1.1
40.8212394714,-73.9877166748,57.9615211487,2017-04-09 17:57:20,"iPhone7,2",10.2.1,1.1
40.8035545349,-73.9913787842,5.87503957748,2017-04-09 18:01:36,"iPhone7,2",10.2.1,1.1
40.7925987244,-73.978843689,6.01945400238,2017-04-09 18:18:40,"iPhone7,2",10.2.1,1.1
40.7989425659,-73.9960174561,27.0004138947,2017-04-09 18:25:04,"iPhone7,2",10.2.1,1.1
40.8054504395,-74.003364563,43.7582359314,2017-04-09 18:29:20,"iPhone7,2",10.2.1,1.1
40.8000450134,-74.0032348633,30.030538559,2017-04-09 18:35:44,"iPhone7,2",10.2.1,1.1
40.7981719971,-73.9977722168,51.3094749451,2017-04-09 19:01:20,"iPhone7,2",10.2.1,1.1
40.7909317017,-73.9990615845,5.43772506714,2017-04-09 19:07:44,"iPhone7,2",10.2.1,1.1
40.7954750061,-73.9966659546,11.662610054,2017-04-09 20:26:40,"iPhone7,2",10.2.1,1.1
40.8044013977,-73.9906234741,8.90745544434,2017-04-09 20:30:56,"iPhone7,2",10.2.1,1.1
40.7938766479,-73.997467041,3.51304960251,2017-04-09 23:49:20,"iPhone7,2",10.2.1,1.1
40.8049812317,-73.9925765991,3.9982881546,2017-04-10 03:52:32,"iPhone7,2",10.2.1,1.1
40.8003807068,-73.9946365356,10.9425172806,2017-04-10 11:48:16,"iPhone7,2",10.2.1,1.1
40.780002594,-74.0096588135,7.67369937897,2017-04-10 11:54:40,"iPhone7,2",10.2.1,1.1
40.7662353516,-74.0188293457,35.8812255859,2017-04-10 11:58:56,"iPhone7,2",10.2.1,1.1
40.7597541809,-74.0274124146,6.15390110016,2017-04-10 12:03:12,"iPhone7,2",10.2.1,1.1
40.7568969727,-74.0009765625,7.35161542892,2017-04-10 12:13:52,"iPhone7,2",10.2.1,1.1
40.7558364868,-73.9951019287,8.00475025177,2017-04-10 12:18:08,"iPhone7,2",10.2.1,1.1
40.7553443909,-73.9890899658,23.5964565277,2017-04-10 12:28:48,"iPhone7,2",10.2.1,1.1
40.7499160767,-73.987953186,17.8667526245,2017-04-10 12:37:20,"iPhone7,2",10.2.1,1.1
40.7355041504,-73.9907150269,15,2017-04-10 12:41:36,"iPhone7,2",10.2.1,1.1
40.7299461365,-73.9937210083,15.6740207672,2017-04-10 12:48:00,"iPhone7,2",10.2.1,1.1
40.7338790894,-73.990814209,17.3805217743,2017-04-10 20:24:32,"iPhone7,2",10.2.1,1.1
40.7487449646,-73.9882049561,15,2017-04-10 20:28:48,"iPhone7,2",10.2.1,1.1
40.754573822,-73.9865188599,23.8873596191,2017-04-10 20:35:12,"iPhone7,2",10.2.1,1.1
40.7580108643,-73.9928359985,26,2017-04-10 21:28:32,"iPhone7,2",10.2.1,1.1
40.7599754333,-74.0272750854,27.0081253052,2017-04-10 21:32:48,"iPhone7,2",10.2.1,1.1
40.7708129883,-74.0151672363,3.04471373558,2017-04-10 21:39:12,"iPhone7,2",10.2.1,1.1
40.782875061,-74.0065994263,13.8236837387,2017-04-10 21:45:36,"iPhone7,2",10.2.1,1.1
40.7973632812,-73.995552063,6.10718727112,2017-04-10 21:49:52,"iPhone7,2",10.2.1,1.1
40.8037643433,-73.9909820557,5.66498947144,2017-04-10 21:54:08,"iPhone7,2",10.2.1,1.1
40.7988471985,-73.9947967529,6.6420083046,2017-04-11 14:45:20,"iPhone7,2",10.2.1,1.1
40.7796173096,-74.0097122192,7.77004241943,2017-04-11 14:51:44,"iPhone7,2",10.2.1,1.1
40.763885498,-74.0218963623,5.63094139099,2017-04-11 14:56:00,"iPhone7,2",10.2.1,1.1
40.7557945251,-73.9975585938,8.8062915802,2017-04-11 15:02:24,"iPhone7,2",10.2.1,1.1
40.7563858032,-73.9913482666,14.4036579132,2017-04-11 15:08:48,"iPhone7,2",10.2.1,1.1
40.7499160767,-73.9879379272,17.9677524567,2017-04-11 15:25:52,"iPhone7,2",10.2.1,1.1
40.735458374,-73.9908294678,15,2017-04-11 15:32:16,"iPhone7,2",10.2.1,1.1
40.7298965454,-73.9936294556,16.2411613464,2017-04-11 15:36:32,"iPhone7,2",10.2.1,1.1
40.7352027893,-73.9907913208,15,2017-04-11 20:01:04,"iPhone7,2",10.2.1,1.1
40.749584198,-73.9880447388,16.9213008881,2017-04-11 20:07:28,"iPhone7,2",10.2.1,1.1
40.7550582886,-73.9880981445,24.4107589722,2017-04-11 20:11:44,"iPhone7,2",10.2.1,1.1
40.7569732666,-73.9936218262,16.2033252716,2017-04-11 20:30:56,"iPhone7,2",10.2.1,1.1
40.763710022,-74.0212478638,10.3950185776,2017-04-11 20:37:20,"iPhone7,2",10.2.1,1.1
40.7830047607,-74.0065002441,4.34769868851,2017-04-11 20:48:00,"iPhone7,2",10.2.1,1.1
40.8037261963,-73.9935379028,4.11293029785,2017-04-11 20:52:16,"iPhone7,2",10.2.1,1.1
40.8040084839,-73.9910583496,6.5057258606,2017-04-12 00:04:16,"iPhone7,2",10.2.1,1.1
40.8085174561,-73.9914855957,8.95942306519,2017-04-12 12:39:28,"iPhone7,2",10.2.1,1.1
40.8273391724,-73.9875640869,84.5562973022,2017-04-12 12:43:44,"iPhone7,2",10.2.1,1.1
40.8400268555,-73.9872665405,81.9112243652,2017-04-12 12:50:08,"iPhone7,2",10.2.1,1.1
40.8360099792,-73.9905395508,37,2017-04-12 12:58:40,"iPhone7,2",10.2.1,1.1
40.8216323853,-73.9879150391,43.2861022949,2017-04-12 13:02:56,"iPhone7,2",10.2.1,1.1
40.8066139221,-73.9912490845,10.1214513779,2017-04-12 13:09:20,"iPhone7,2",10.2.1,1.1
40.8039588928,-73.9909362793,6.85597419739,2017-04-12 13:37:04,"iPhone7,2",10.2.1,1.1
40.8100509644,-73.991027832,10.9130334854,2017-04-12 19:18:24,"iPhone7,2",10.2.1,1.1
40.8267593384,-73.987159729,67.8789291382,2017-04-12 19:22:40,"iPhone7,2",10.2.1,1.1
40.8400993347,-73.9874954224,83.6325378418,2017-04-12 19:29:04,"iPhone7,2",10.2.1,1.1
40.8343849182,-73.9902572632,73.5972213745,2017-04-12 19:44:00,"iPhone7,2",10.2.1,1.1
40.8202362061,-73.9881439209,76.3985061646,2017-04-12 19:50:24,"iPhone7,2",10.2.1,1.1
40.8044166565,-73.9909439087,7.26243972778,2017-04-12 19:54:40,"iPhone7,2",10.2.1,1.1
40.8004150391,-73.9943389893,9.83894443512,2017-04-12 20:09:36,"iPhone7,2",10.2.1,1.1
40.792842865,-73.9981155396,3.38966393471,2017-04-12 20:13:52,"iPhone7,2",10.2.1,1.1
40.8070678711,-73.9908218384,6.35324907303,2017-04-13 02:46:24,"iPhone7,2",10.2.1,1.1
40.8135375977,-73.9841079712,4.108751297,2017-04-13 02:50:40,"iPhone7,2",10.2.1,1.1
40.8044395447,-73.991355896,5.79810714722,2017-04-13 02:57:04,"iPhone7,2",10.2.1,1.1
40.8090553284,-73.9912261963,23.2924785614,2017-04-13 14:11:12,"iPhone7,2",10.2.1,1.1
40.8270606995,-73.9872589111,72.2977676392,2017-04-13 14:17:36,"iPhone7,2",10.2.1,1.1
40.829990387,-73.9926300049,63.1623001099,2017-04-13 14:24:00,"iPhone7,2",10.2.1,1.1
40.8398513794,-73.9876174927,83.0264053345,2017-04-13 14:30:24,"iPhone7,2",10.2.1,1.1
40.8443908691,-73.9864883423,102.593811035,2017-04-13 14:34:40,"iPhone7,2",10.2.1,1.1
40.86095047,-73.9702453613,103.151916504,2017-04-13 14:38:56,"iPhone7,2",10.2.1,1.1
40.8570899963,-73.9738464355,79.3110046387,2017-04-13 15:15:12,"iPhone7,2",10.2.1,1.1
40.8399162292,-73.970375061,37,2017-04-13 15:19:28,"iPhone7,2",10.2.1,1.1
40.8125457764,-73.9849243164,3.9319601059,2017-04-13 15:23:44,"iPhone7,2",10.2.1,1.1
40.8043746948,-73.9921798706,5.10406160355,2017-04-13 15:30:08,"iPhone7,2",10.2.1,1.1
40.7920722961,-73.9855575562,8.04826545715,2017-04-13 15:47:12,"iPhone7,2",10.2.1,1.1
40.8043899536,-73.9900741577,6.59856128693,2017-04-13 15:51:28,"iPhone7,2",10.2.1,1.1
40.8006973267,-73.9943161011,11.571103096,2017-04-13 17:53:04,"iPhone7,2",10.2.1,1.1
40.7831230164,-74.0072631836,7.10777854919,2017-04-13 17:57:20,"iPhone7,2",10.2.1,1.1
40.7658691406,-74.018951416,3.75994372368,2017-04-13 18:03:44,"iPhone7,2",10.2.1,1.1
40.7553749084,-73.9966049194,10.4433069229,2017-04-13 18:10:08,"iPhone7,2",10.2.1,1.1
40.7562561035,-73.9906921387,16.117193222,2017-04-13 18:18:40,"iPhone7,2",10.2.1,1.1
40.7496299744,-73.9880218506,16.7821369171,2017-04-13 19:05:36,"iPhone7,2",10.2.1,1.1
40.7362861633,-73.9906082153,15,2017-04-13 19:14:08,"iPhone7,2",10.2.1,1.1
40.7299499512,-73.9931945801,16.7460327148,2017-04-13 19:18:24,"iPhone7,2",10.2.1,1.1
40.7356910706,-73.9906845093,15,2017-04-13 22:13:20,"iPhone7,2",10.2.1,1.1
40.7494926453,-73.9880599976,16.9032344818,2017-04-13 22:19:44,"iPhone7,2",10.2.1,1.1
40.7549629211,-73.9881515503,25.9730815887,2017-04-13 22:24:00,"iPhone7,2",10.2.1,1.1
40.7580337524,-73.9927978516,16.7749137878,2017-04-13 22:41:04,"iPhone7,2",10.2.1,1.1
40.7656211853,-74.0229034424,11.5490131378,2017-04-13 22:45:20,"iPhone7,2",10.2.1,1.1
40.7681427002,-74.0172653198,6.19167709351,2017-04-13 22:53:52,"iPhone7,2",10.2.1,1.1
40.7829666138,-74.0066070557,5.58333158493,2017-04-13 22:58:08,"iPhone7,2",10.2.1,1.1
40.8049278259,-73.9928283691,6.17219352722,2017-04-13 23:02:24,"iPhone7,2",10.2.1,1.1
40.8004302979,-73.9941482544,1.69122314453,2017-04-14 17:01:52,"iPhone7,2",10.2.1,1.1
40.769821167,-74.015914917,6.61492919922,2017-04-14 17:06:08,"iPhone7,2",10.2.1,1.1
40.7544212341,-74.0294876099,0.425506591797,2017-04-14 17:12:32,"iPhone7,2",10.2.1,1.1
40.7397956848,-74.0339813232,4.13198852539,2017-04-14 17:16:48,"iPhone7,2",10.2.1,1.1
40.7322463989,-74.0410308838,1.70883178711,2017-04-14 17:21:04,"iPhone7,2",10.2.1,1.1
40.7228965759,-74.0067443848,-37.1449737549,2017-04-14 17:27:28,"iPhone7,2",10.2.1,1.1
40.7169761658,-74.0025634766,20.2672729492,2017-04-14 17:31:44,"iPhone7,2",10.2.1,1.1
40.7135353088,-73.9987258911,7.31469726562,2017-04-14 17:40:16,"iPhone7,2",10.2.1,1.1
40.6964950562,-73.9848861694,16.2512207031,2017-04-14 17:44:32,"iPhone7,2",10.2.1,1.1
40.6879844666,-73.9804000854,-4.09912109375,2017-04-14 17:50:56,"iPhone7,2",10.2.1,1.1
40.677318573,-73.9725570679,35.3457336426,2017-04-14 17:55:12,"iPhone7,2",10.2.1,1.1
40.6675949097,-73.9654998779,41.4700317383,2017-04-14 17:59:28,"iPhone7,2",10.2.1,1.1
