Park Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,2017
Everglades NP,"822,118","900,882","915,538","934,351","1,141,906","1,047,116","1,110,901","1,077,427","930,907",,,"1,018,557"
Federal Hall NMEM,"212,564","204,880","178,749","187,109","167,146","148,647","137,538","172,038","314,531",,,"325,497"
Fire Island NS,"604,577","569,667","613,057","519,173","483,334","294,219","384,343","441,899","431,303",,,"456,392"
First Ladies NHS,"9,770","10,466","8,766","8,254","9,903","10,068","15,326","12,897","13,378",,,"13,085"
Flight 93 NMEM,"136,091","149,668","137,837","265,246","317,926","265,924","284,226","337,217","385,123",,,"364,082"
Florissant Fossil Beds NM,"56,988","64,251","65,422","61,289","62,637","58,032","63,297","69,130","73,564",,,"71,763"
Ford's Theatre NHS,"335,865","658,271","662,298","642,786","701,542","665,876","655,441","681,537","650,779",,,"744,266"
Fort Bowie NHS,"10,095","9,641","9,491","8,429","7,966","8,082","6,964","7,760","8,013",,,"8,491"
Fort Caroline NMEM,"279,984","288,606","299,906","326,149","327,339","307,086","187,843","224,418","232,082",,,"243,960"
Fort Davis NHS,"49,290","50,968","43,280","35,130","38,136","43,277","49,842","55,955","61,823",,,"60,910"
Fort Donelson NB,"208,631","203,456","202,210","257,389","284,762","247,734","262,317","260,744","259,343",,,"208,816"
Fort Frederica NM,"248,093","296,117","294,484","293,041","262,235","217,580","228,103","202,191","192,906",,,"188,089"
Fort Laramie NHS,"48,297","56,923","57,128","52,916","55,199","54,057","49,038","51,616","57,444",,,"61,513"
Fort Larned NHS,"21,483","27,443","29,423","26,704","33,194","27,432","24,607","32,170","31,060",,,"29,188"
Fort Matanzas NM,"813,131","793,253","673,700","570,695","497,574","523,694","568,529","622,175","557,810",,,"578,981"
Fort McHenry NM & HS,"598,050","605,870","611,582","641,254","744,076","678,431","769,300","617,890","610,987",,,"591,861"
Fort Necessity NB,"127,672","197,271","264,450","193,479","187,893","165,159","219,546","280,705","290,021",,,"294,145"
Fort Point NHS,"1,390,187","1,385,134","1,315,241","1,338,508","1,502,786","1,591,312","1,677,457","1,610,466","2,264,154",,,"1,532,541"
